Game,Reviewer,Completeness,Aesthetics,Fun,Innovation,Scope,Roguelike,Full Review
Dark Valhalla,Anonymous,"1 - By the author's own admission, key things like game sheets are missing.  There are also many bugs in the rules.  Often one can overcome them with enough client-side processing, but if this was code it wouldn't even get close to running.  I respect the difficulty of working in the time frame, and the difficulty of content creation.  So cutting out flavour text is one thing (though, what is a vore?  Wikipedia leads to Vorarephilia which I don't even want to click through), but please, PLAYTEST!  I am a big believer in rounding out P&P rules to make the game fun, but when the rule we have to add is that the enemies don't get to attack... well... it shows there is an issue.",2 - PDF layout is quite presentable.  Tables are legible.,"2 - While the game is laughably unbalanced, the mechanics are fun - I like drawing cards to build the dungeon.  The rolling for attacks with pairs and straights is very interesting, if only the combat system had even the slightest hope of balance.","2 - A lot of neat ideas for paper games here.  I can't say if they are innovative as I'm not in that scene, but they are interesting and new to me.","1 - It is the @ on a map of a DND-like.  Seventeen pages of rules does not impress me - that is 750 lines of code, I have header files bigger than that.  I would have been more impressed by one page of rules and sixteen pages of tables that are playtested and balanced.","1 - A cross between DND and Quake, it fails to pick up the key component of roguelikes: tactical combat.  This is somewhat frustrating as P&P is where this game style *started*!  Look to Asheron's Call for a recent board-game roguelike, for example.","Dark Valhalla is a rare attempt at a non-computer mediated roguelike.  Unfortunately, the rather convoluted ruleset will make you wish you had a computer to mediate it.  And the lack of play balance will make you wish the author had used a computer for faster testing."
Mujahid,Anonymous,"2 - Complete with an end condition.  Mostly missing polish, such as better feedback for who you are to kill (The infernal crusader) and why sorcerers are needed, and what pray does (reset chasing monsters?)  And I would love a revamped control scheme.","2 - Nice use of high ascii for room decorations.  Good selection of colours.  The double-tap to move in a direction is very disorienting, really wish I could strafe and rotate separately.  The enemy vision cones drops to black which makes it hard to tell how far they actually go.","1 - The rotate-then-move made for a very frustrating movement.  Rooms are big and enemy movement unpredictable, so I can't figure out how to actually do sneak attacks.  Strangely, you can *attack* in a direction you are not facing, and if that creature isn't facing you (which you can't tell cause it is a ? then) you can backstab.  This became the only practical way of doing backstabs - run to a creature, pillar dance, and backstab.  I think an energy based movement scheme is dangerous in this sort of roguelike as it obscures the turn choice, and with insta-kll backstabs, turn choice is very important.","2 - A good attempt at stealth based roguelikes.  I like that you *can* fight enemies, forcing you to learn the importance of sneaking after a few failed traditional fights.",2 - Nicely scoped for a 7drl.,3 - Random layout with very tactical combat.,"The first thing you will notice playing Mujahid is a sense of claustraphobia.  This is intentional: it is a stealth based roguelike requiring you to carefull plan your moves with less than perfect knowledge of the positions of your foes.  If you do get spotted, you are fleet of foot and can call upon divine assistance to mislead the heathen."
Professional Sword Tester the Roguelike,Anonymous,"3 - Appears complete and polished, did not run into any serious problems.","2 - Dark blue should be banned as a console colour.  The weapon switch keys seem randomly ordered - hjkl have a left-down-up-right mapping in my mind, so overloading them for a four entry list is hard to grasp.  Would have prefered asdf for two handed play.  Then switching could have been made a single key press, helping encourage that essential mechanic.","2 - Starts off too easy with too many items - but - this is likely necessary for people to figure out the plot.  I could see people quitting from boredom before hitting monsters that make you think.  As you get deeper, it seems imperative to switch weapons and view monsters, so it is rather frustrating this takes so many keypresses.",3 - The combat model is nice an nuanced and complex.  A wide range of effects and modifiers to be balanced and examined.,2 - Excellent 7DRL scope.,3 - Meets all the points.,"Despite its name, you will not be just testing swords in this game!  You will find a shockingly wide variety of items, with an equally wide variety of effects.  But you face a wide variety of monsters with, again, a wide variety of effects.  Trying to determine which items to carry, and which to wield for each round of combat, will strain your min/max abilities."
Drakefire Chasm,Anonymous,"3 - Very polished. No problems. The post-7DRL version fixes some bugs, but they are not serious.","3 - a classical roguelike look via libtcod. Quite simple, but tasteful. Nice animations of attacks.","3 - Very fun to play! Most of the battles are easy, but occasionally you get attacked by many foes, and you get into trouble. I don't survive the second boss level in most of my games, I think it is too hard. While it often annoys me, this game is so fun that I don't mind.","2 - the ""be a dragon"" fantasy appears to some extent in  lots of other roguelikes, but this is the first where it is so well developed. I also like the healing mechanics (there is no rest-to-heal, instead you simply eat your fallen enemies, in a tough situation it might be worthwhile to stop fighting to eat something). Some of the special powers of the enemies are not that typical, and so are the powers of the dragon. However, I think something more is required for an excellent score in Innovation.","3 - lots of enemy powers, lots of PC powers, animation, balance is OK.",3 - Definitely.,"In this game you play as a dragon, watching it grow from a Wyrmling into the Great Wyrm. On later levels, this means that you fight swarms of adventurers, who are trying to kill you. This role reversal works very well, and is very fun to play. Heavily recommended! Some minor faults include the feeling of false progress (you are much powerful on Level 2 than on Level 1, but you still don't kill rats in one hit, because they also become more powerful... I think monster names should be at least slightly adjusted (e.g. ""large rat"", ""giant rat"" etc) to avoid that), starting in a tough position usually leads to losing (this usually happens on level 8), and the effect of attacks of enemies should be clearer (my firebolt spell kills bears on Level 2 in one hit, and breath does not; however, according to the ability screen, breath deals much more damage; the damage on the ability screen does not seem affected by my stats). These faults are minor, it still gets straight '3' in my review."
AsylumRL,Anonymous,"2 - Stable and polished in some areas (sound, story)","3 - Atmosphere is perfect for the game. Combination of sound and visuals when corpses/stalkers appear is great, and incredibly jarring the first time (in a good way)",2 - Worth playing for the atmosphere and story but otherwise there is a lack of 'fun' gameplay. The cave levels are especially difficult to explore (perhaps intentionally?) and the enemies seem to be instant death without warning.,"2 - No real gameplay innovation but it is an excellent use of atmosphere (sound, visual effects, darkness) that I feel other roguelikes should certainly investigate.",2 - About what I'd expect from a 7DRL,2 - Its a roguelike but the first 2 levels are not procedural and there is no real item interaction or resource management (except for pills?),"A dark game with a capitvating story that makes excellent use of sound and visual effects. Actual gameplay is somewhat shallow and death seems a bit unfair, but if you play in a dark room with headphones on (as suggested by the author) it is a surprising amount of fun the first time."
Bone Builder,Anonymous,"2 - Stable, nice use of TOME4 engine. Rough in other areas.","2 - Font seems way too empty for me. (Maybe if terrain had some background color?) Sometimes I couldn't tell if a monster was diagonally adjacent to me or not. Spell effects look cool. Key bindings definitely not a problem, everything does what I'd expect.","1 - Was fun once I figured out how to summon/create my skeletons. Almost quit in frustration before that though! (Wearing arm and leg bones is not intuitive), but I have to knock a point off, from a 2. Once you figure things out and get new spells, the 'crafting' nature of summoning is fun.","2 - Extreme focus on summoning mechanic is interesting. Using gems and other items (metal, magical artifacts) to create better undead minions is quite innovative. everyone loves crafting!",2 - About what I'd expect from a 7DRL,3 - Definitely a roguelike,"A TOME4 mod that has you summoning skeletal minions to overpower your enemies. Undead minions are quite grotesque, being made up of whatever bones you have found lying around (goblin ribcage + fox legs + human skull = ???). Figuring out the summoning mechanic was quite frustrating: you must ""wear"" a bone item in each slot (head/body/arms/legs) and then cast the spell. Once you figure this out it is quite fun. Later spells let you combine gems and metals and infuse your skeletons with enhanced powers. TOME4 doesn't let down in the controls department, mouse and keyboard all work exactly as I'd expect. Visually a bit sparse but spell effects are cool."
HunterRL,Anonymous,"3 - Stable, no problems running python. Excellent example of polishing a small number of features.",2 - Controls well. Got annoyed at a separate command for 'open/close door'.. until I realized later this was definitely required! Visually very much a basic roguelike but pleasant to look at.,3 - So much fun! Kept coming back to this one to play more and more. The open-ended nature of the game means you will always come back and try to beat your previous score. Very cool chain of tactics leading from carrot to (eventually) trapping wolves. How many wolf corpses can you pile up? Accidentally stepping into your own traps is the perfect roguelike death!,"2 - Not doing anything amazingly new, but what it does do, the game does very well. Monsters (wolves, rabbits) do seem especially intelligent compared to most roguelikes.","2 - Perfect example of a 7DRL. One mechanic, polished. Extremely fun in short bursts.",3 - Certainly a roguelike. Plenty of permadeath and inventory management is key.,"A great ""coffee break"" roguelike... your coffee will probably be cold by the time you finish. In this incredibly simple but fun game you are a hunter, and must use your limited inventory (carrots, traps, knives) to capture and kill as many wolves as possible. Animals seem surprisingly intelligent. Some tactical depth in managing your inventory when out in the field (don't forget to close the door to your hunting lodge!!) and working your way up from a carrot to a dead wolf is rewarding. Not very deep but what it does do.. is done very well."
Shadow Rogue,Anonymous,"2 - Stable, polish in some areas but lacking in others.",2 - Controls well and I like the stealth mechanic (esp. the crates). Visually very much a basic roguelike.. levels feel very empty most of the time.,3 - Lots of fun. I wish it was a bit easier though so I could enjoy some of the mechanics more.  Sneaking was kind of hard to figure out.. since you can't see the guards when they can't see you (but maybe that is intentional). It was never apparently obvious to me when sneaking would work and when it wouldn't.,3 - Giving this game a 3 for having a useful charisma attribute. 'fast talking' guards and the resulting mechanics (friendly guards make other guards more friendly) can be incredibly deep. Would love to see more games do this kind of thing. ,2 - About what I'd expect from a 7DRL,3 - Definitely a roguelike but lacking deep resource or inventory management.,"Another great ""coffee break"" roguelike. On each level, you must find the MacGuffin and get the hell out! Guards stand in your way, though. To get around them you have 3 tactically diverse options: combat, stealth, and charisma. Combat works fine for a little bit, but is not recommended (I did not find the combat 'build' to be very rewarding). Stealth is interesting, although the levels could certainly use more stuff to hide behind. The last option is to talk to the guards, and convince them to leave you alone. This is a surprisingly deep mechanic, because once a guard is friendly, it will make it easier to convince other guards if that friendly guard is nearby, creating a chain-reaction if you can pull it off. A bit rough around the edges (no resources or inventory to speak of, no end to the game, figuring out % chance of stealth/talking actually working is hard) but definitely worth playing for the innovative non-combat tactics."
Equal in Death,Anonymous,"1 - Got lua errors while playing. Missing polish in lots of areas, but incredibly polished in a few (level design, graphics).",1 - Very pleasant to look at but incredibly frustrating to control! Even picking up weapons.. I had to find out how to do this from the forums.,"1 - I really wanted to enjoy this game but I found it incredibly frustrating. Lua errors combined with non-obvious pathfinding combined with incomprehensible character names leaves a bad taste in my mouth. Very hard to get into, which is a shame because the level design is amazing and I love the concept of a gladiator-themed RL.",2 - The 'home base level' and diplomacy angle is certainly a fresh take on the roguelike genre but the game is too hard to get into and see how these features play out.,2 - About what I'd expect from a 7DRL. ,2 - Gameplay is roguelike-esque but there is no real 'exploration' and somehow the combat is reflex-based? I have no idea what that bar is!,"A great-looking game with a very interesting concept. Unfortunately I found it way too difficult to get into and banged my head against lua errors, incredibly frustrating pathfinding, and non-obvious controls. Visually appealing, the screenshots really make me want to run out onto the sand and spill some blood. However, the game did not seem to want me to do that! Diplomacy angle hinted at a deep game underneath the problems I had. I look forward to this game getting some more polish."
Cogmind,Anonymous,3 - Yikes. Depth and polish here puts other 7DRLs to shame. I think the author has a time machine.,"2 - Why is the font so small!! Maybe I am just too old, but with so much stuff on the screen I need bigger graphics. Very ""busy"" at first.. the first level can be a bit overwhelming for a new player. Controls like a dream... keyboard bindings out the wazoo.","3 - Tons of fun. This game does take some time to get into, and can seem overwhelming at first, but give it time. It is well worth it. Soon you'll be swapping out cores and weapons on the fly and blowing the crap out of other robots with rocket launchers. Oh and also there are jetpacks!!  ","2 - Solid use of standard roguelike mechanics, although many are stretched in great ways.",3 - More than what I'd expect from a 7DRL. Does the author have a time machine? (I expect it is due to the amazing engine used by X@COM),"3 - It's a roguelike! Combat is a bit too slow paced, but that just means you need to find bigger weapons. Inventory and resource management is deep. ","One of the best 7DRLs of 2012. You are a robot fighting his way upwards out of the trash heap. To do this, you must find parts and attach them. Parts/slots mechanic is incredibly deep and complex: power cores, movement, weapons, utilities. Because parts take damage you will be constantly re-attaching new parts and upgrading when you find better weapons, treads, jetpacks, heat shields, nuclear power cores, etc, etc, etc. Visually very busy and the controls can see overwhelming at first, but put the time into it and you will be rewarded. The author has gone through painstaking effort to include a keybinding for everything, although I believe everything can be played with only the mouse as well. Combat can be a slog sometimes but go and find a rocket launcher and it will bring a smile to your face. The way enemy robots spill out all of their parts when they explode is a lovely touch. Play this one."
Kaiju Roguelike,Anonymous,"3 - Complete, polished!","3 - Looks great, keys are perfect. Animation is a bit slow for my tastes but it does give you time to think about your next move.",3 - Immensely fun to play. Simple components and movement mechanics give way to deep tactical decision making.,"1 - Nothing overwhelmingly new, but in this case that is a good thing.",2 - Perfect example of a 7DRL.,"2 - Roguelike inspiration is impossible to refute, but tactical depth is limited.","The perfect ""coffee break"" roguelike. Graphics are incredible: simple but effective and endearing! You are a godzilla-like monster, rampaging across randomly-generated island cities. Very simple movement and power mechanics give way to deep tactical decision-making. This one is flash so you have no excuse! Go and blow up some tanks."
Cave Chop,Anonymous,"2 - Compiled and ran fine, did encounter a bug throwing flasks","1 - Controls are what can nicely be called ""classic"". Lifted straight from nethack, but in a bad way: separate commands for putting on/taking off weapons, rings, and armor. Visually the old-school look is appealing, although cave-dungeons could use a bit of color perhaps. Left/Right UI layout makes it easy to follow the action.",2 - Definitely fun from a classic roguelike perspective. Lots of fiddly commands ala nethack is annoying but workable. Player is a princess but I'm not sure if that has anything to do with the rest of the game? No identification or cursing (that I found) means you can get going early with tons of rings and potions. Was not able to throw flasks even though I really wanted to!,1 - Nothing too different from classic roguelikes (nethack).,2 - Nice job for a 7DRL. ,3 - Definitely 100 percent roguelike.,"A classic dungeon diving roguelike. Manage an every-increasing variety and amount of weapons, rings, scrolls, armor, and flasks as you travel deeper and deeper into the dungeon. Monsters get powerful rather quickly so make sure to stock up before you head down. Look is a basic roguelike, and runs fine on linux. Controls unfortuntely borrow the worst of the nethack genre: separate commands to take on/take off weapons, armor, and rings (that's six commands). However, there is a lot to see and do in this game, which is actually infinite! (You WILL die, don't worry) There are tons of items and the various rings do a good job of creating tactically interesting scenarios."
Fictional Roguelike,Anonymous,3 - Looked and played like a finished game. I didn't encounter any major problems.,"3 - I love the pen and paper RPG look of the game. The graphics are clean and easy to follow, despite their small size. ",2 - I enjoyed exploring the map and trying not to die. Some more content would have been nice.,"1 - Using a CFG to add story to a roguelike is a good idea, but the implementation here doesn't get around to any storytelling.","1 - Had a map and monsters, but not much else. Chests were present but useless. In general, adding something like that without making it functional is a good way to frustrate players.",3 - It felt more like Rogue than many modern roguelikes.,"A fun little game. The goal of incorporating fiction into a roguelike wasn't fully realized, but it's still a decent (though simple) dungeon crawl. Much of the charm comes from graphics designed to resemble the maps in old pen and paper RPGs."
TrapRL,Anonymous,3 - looks like a complete game,"2 - nice ascii aesthetics, but nothing to write home about.",2 - nice twist with a traps-oriented design.,2 - pretty much a standard rl but with the focus on the environment rather than combat,2 - about right for a 7drl.,3 - roguelike on all accounts,
HunterRL,Anonymous,2 - seems pretty complete except for puzzling control scheme and some UI quirks.,2 - nice colors and some tiles,2 - base concept is interesting but gets old pretty quickly. If there was  goal I didn't see it.,2 - tracking and luring animals was a nice touch.,2 - could be a bit bigger (not that much to do in the game) but overall nicely done.,3 - nothing unorthodox in this regard.,
DuneRL,Anonymous,"1 - Barely compiles.  Clearly lots of missing content, ie, ""ranged weapon"" that you pick up.  Does have win capability, though.","2 - I love the height based LOS and footprints.  I wish the footprints contributed more to gameplay rather than just being nice looking (ie, if it were useful to track people!)  Control scheme is cryptic - no in game instructions I found.  I had to read the source to find out that 'q' means to eat corpses.","1 - Ranged weapon means enemies pose little threat.  Once you figure out how to cannibalize your foes, it is a trivial task to spam an arrow key until you win.",2 - The footprint tracking and fancy LOS has the beginnings of an interesting hunting game.,"2 - A good sized scope was planned for this.  I wish the author had the time to flesh out the content and gameplay, however.","2 - The trouble with deserts is that there is no terrain to hide behind to make the combat tactical.  The hills should have provided this, but the powerful ranged weapon just turns combat into a f smashing fest.","DuneRL is a beautiful roguelike which captures the trackless (well, except for those tracks you or your foes make) wastelands of Dune.  It is worth the effort of compiling to see what the game looks like, even if it the actual gameplay is still bare-bones."
Fragile Wrath,Anonymous,"3 - Feels complete, no problems.","2 - OK. A libtcod roguelike, with a checkerboard instead of the typical dot pattern. It was a bit hard for me to understand the game at first, I think the game should tell me that I need to build up wrath of 3 to use my special powers.","2 - it's OK, but I did not find it particularly fun. I see no connection of the pre-game animation with the actual gameplay. Also the game ends abruptly, I think it could be fun to fight more dangerous enemies with all these powers. As usual with 1HP roguelikes, the puzzle element is strong, but the cost of a tiny mistake is high.","2 - Original features include: paralytic attack as a main weapon (in a 1HP roguelike), locking doors behind the PC to make it harder to return to a safe place, and ""combos"" activated by a single keypress.","2 - includes pre-game animation and 8 special moves. Quite a simple dungeon generator, very simple enemies. Okay, but I think that '3' requires more.","3 - Yes, that's a 1HP roguelike.","A 1HP roguelike. In this one, enemies have more than one HP, but they are paralyzed by your attacks, so you have a chance. Includes a pre-game animation (although the interpretation is left to the player). I think it is OK, but nothing special."
TrapRL,Anonymous,1 - There are bugs. Sometimes the inventory disappears or becomes unusable without a reason. Once I could not find any way to the next level.,"1 - The colors are ugly. Nice trap graphics, but still, it should be clear what direction they are moving. I was unable to understand the inventory at first (if you have only one wound, it is not that obvious that you should use the healing salve on it instead of simply using it, right?)","1 - Although the pillar and blade traps are somewhat fun, the majority of the game is not.","2 - I think I can give a ""2"" for the wound system, which is original, I think. But there was already a game named TrapRogue in the past. The crafting system makes the game complicated rather than fun. While the pillar and blade traps are somewhat original, it does not show how they work in a roguelike (since challenges involved them are not randomly generated).",2 - An average amount of features.,2 - The challenges are not randomly generated.,"A roguelike where traps are your only enemies. But most of the traps are no fun: no way to know where they are (I think you could just remember where they are since they are not exactly random, but it is not fun either), and there is no challenge since you can simply heal all the wounds. There are two good, original traps: ""blade traps"" which spin around a wall, and ""pillar traps"" which go up and down. But the level of randomness involved in their generation seems low. And they are separated with huge boring parts."
The Adventurer's Guild,Anonymous,2 - Polished and bug free.  Could use a high score table.  Balance needs work.,"3 - Very nice looking.  Switching between heros is easy and quick.  Miss vi-keys, but arrow+page/home.  Excellent visual indicators of party status. One complaint is that death screens are bit harsh - can't even see who killed you.  Also, the enemies will move *during* the special attack animation, making it look like they walked into the whirlwind and were unhurt.","2 - Starts reasonable, but gets ridiculously easy.  No ramp in enemy power (they seem to be one-shotted even at depth 22), and a big ramp in gold output means that you can easily employ your troops.  It is fun to play the party, just one wishes there was a challenge to pit them against.  Special powers are thus not very necessary, and since you can only control a single characters position, often not practical.","3 - An excellent attempt at a party based roguelike.  I really like having the characters all on the map.  Also, the gold hiring process is very clever, especially how they will rejoin your party if you get enough gold later.",2 - A reasonable scope for a 7drl.,"3 - Randomly generated, tactical combat.  While you do control a party, it doesn't break the modality.","The Adventurer's Guild is a party based roguelike where you have to collect gold fast enough to pay your party's salaries.  If you don't make payroll, they abandon you deep in the dungeon.  Hopefully you can then make enough gold to hire them back for the next pay cycle!  A clean look and smooth play make this a worthwhile game to try out, even if the lack of difficulty means there is little chance for replay."
Shadow Rogue,Anonymous,3 - No problems here.,"3 - Looks very nice, and easy to control. Although there are some minor flaws: friendly guards who don't see you are hardly visible; you don't remember crates; and there should be a way to target with keyboard.","3 - There have been several attempts at a stealth based roguelike in the past. Although this one is the simplest I think, it is also the most fun.","3 - Even though the system is very simple, it works surprisingly well. I especially like the charisma-based thievery. ","2 - I don't see anything that should be added to the game. But still, I think that there is not enough for a rank of 3.",3 - Definitely a roguelike.,"A stealth-based roguelike, where you have a choice of using brute force, stealth, or charisma. There have been several attempts at a stealth based roguelike in the past, but I have found this one to be the most fun, even though simpler than the ones I have seen. I especially like the charisma-based way of getting past the guards. Definitely recommended."
GatewayRL,Anonymous,"2 - Interface is bad, but the README is a great help. Depth of 'buddy' mechanic seems fleshed out.",1 - A bit harsh to look at. Interface leaves a lot to be desired. 'look' button doesn't seem to do anything? Keyboard controls are mostly fine.,2 - Buddy mechanic was fun. Not sure how well they were following orders but the sense of exploration is definitely there. Died way too quickly and seemingly without warning. Game is hard to get into without the README,"2 - +1 for (apparently) intelligent buddies that are not obnoxiously in your way all the time. Wish they would be better about taking care of themselves, but dragging an unconscious friend back to the shuttle is fun. More roguelikes need ally AI like this.","2 - Grand scope, but lacking in execution in some critical areas (interface)",2 - Certainly a roguelike but starting off on a menu screen is a (-1). Why not have the space station be its own level and keep everything in roguelike-land?,"Journey to alien planets with a crew of surprisingly useful allies in search of alien artifacts and cash. Interface leaves a lot to be desired but exploring with AI buddies captures the atmosphere very well.. buddies are always walking into traps or getting hurt, leaving it up to you to lug their unconscious bodies back to the shuttle. Death seems way too easy and the initial set-up menu is a little cumbersome, but there is certainly a good roguelike burried in here somewhere! Definitely read the README file first if you are going to check this out, it explains some of the more obtuse aspects of the game."
Locks,Anonymous,"3 - Very polished, nice to look at. Excellent use of (I think?) the same tiles that I've seen in other games like Realm of the Mad God. Menu, title screen, etc, all nicely done.","2 - Looks amazing, but controls leave much to be desired. 1) right-click to fire is not specified anywhere. 2) re-targeting an enemy each time they move is painful, as all combat is ranged I have to keep slightly moving the mouse. Walking seems to take a long time, even with shift-walk, mouse doesn't do diagonal corners well.",1 - I wanted to have a lot of fun with this game. Keys unlock doors which lead to cooridors with new rooms with new keys with new unlocked doors... was hoping for some more depth. Why does every enemy have a ranged attack?? What is this dog shooting at me exactly? :) Exploration is made very tedious and combat gets repetitive in wide-open spaces.,"1 - Nothing really new here, except for maybe making a roguelike that actually LOOKS nice. But this is a gameplay/mechanic category.",3 - Amazing polish and completeness for a 7DRL.,"3 - Definitely a roguelike, with all-ranged combat.","A very well-polished game with music and an excellent tile set. Entirely based on ranged combat. (Right-click to shoot, took me a while to figure that out) Exploration becomes dull rather quickly and combat gets to be a chore but until that point it is a joy to see and experience. More roguelikes should look like this and have this level of accessibility. "
Ruins of Kal Raman,Anonymous,"1 - Has some bugs, for example, it seems that HP is not updated after I am attacked. Some things don't work as I would expect (e.g. I am unable to save the game, or to advance my traits after completing the dungeon [later I found out it was because I 'exited' the dungeon instead of 'abandoning' it]), I am not sure whether this is a bug in the game itself, or in the documentation.","2 - the graphical style is OK, but the controls are unclear.","1 - Sorry, I don't find this game fun.","1 - The mix of real-time and turn-based gameplay. I don't remember any roguelikes using this, I can't immediately find non-roguelikes either, but still, I don't find this feature really innovative. Also I am unable to see how this can be interesting (maybe it can, but the game did not show this).","2 - You can move and fight. The game is not balanced. There are many traits, but I was unable to see them until I have found out that the Wizard's Armor spells apparently makes you completely invincible.","1 - I don't feel like I am playing a roguelike here. Features which break this include real time movement, rooms as separate locations (without a choice of escape), lack of keyboard control, and to some extent graphics. It lacks in randomness, it seems that I am always entering the same dungeon (only the dimensions of the rectangular rooms are changed).","A graphical game with mouse only movement and real-time combat. Each room is a separate fight, and cannot be escaped. It seems to generate the same dungeon every time I try. For these reasons I don't feel like playing a roguelike. It has character achievement (many traits), but apparently it is extremely unbalanced: I have been trying to win as a Wizard and I fell on the second battle in the second dungeon, until I have found out that the Armor spell makes you invincible, which made me finally win the game, but without any challenge. I think lots of work is required before this becomes a fun game."
LinLem's Vague Adventure Roguelike,Anonymous,"1 - Spelling errors, the lack of content and balance. It exits without a message when I starve. I am unable to get myself killed (it seems that the rats cause no damage at all). Sometimes I get an unconnected level.",1 - I think that the graphics are acceptable. But the control scheme is not (only VI movement).,"1 - I don't see any reason to recommend this game. Food/drink requirement is annoying rather than fun. I think that some of the names are items and monsters are fun, but that's not enough.",1 - I don't see anything innovative here.,"1 - @ moving on screen, line-of-sight (without remembering seen locations), three classes of items (food/drink/healing), bump into monsters.",2 - Lacks in complexity.,"I don't see much reason to play this game. You could like how it looks (or not), and you could like some names of monsters and items, but other than that, there is no balance and no interesting features. I would not call it a success."
Jelly,Anonymous,3 - Polished.,"3 - It is not my style, but I think it is very well done. There are some flaws, though: it makes no sense that torchlight turns light blue into dark blue, and the system of remembering seen areas is bad (I should see where the bridges are).","2 - I think that people who are not hardcore roguelike fans and would like to try something remotely roguelike would like it. For hardcore roguelike fans, though, there is not enough challenge, and not enough content.","2 - This mix of a standard roguelike, nice graphics, and real time gameplay is novel, at least I don't recall any game which would be similar enough. On the other hand, I don't think it is really that original, and I don't see it as something that could set a new trend in gaming (maybe with much more cool features?). I give a rather weak '2' in this category.",2 - Has everything it needs. But it is not much.,"2 - It has some roguelike aspects (level layout, items, tactical thinking), but: random generation does not matter very much; is real time; and lacks in content a bit. I would call it a weak roguelike-like.","In some sense, this looks like a roguelike pushed towards the casual gamers. Turn based gameplay and ASCII graphics are replaced by beautiful, real-time animations. I think that it is a game that you could show to casual gamers, and they would enjoy it, but unfortunately, they would not learn much about our favorite genre: there is not enough content to result in complexity and emergent gameplay, and although the level layout is randomly generated, it does not really matter that much. It also seems a bit hard to run, which is a shame for a game of this kind (but maybe it's just my impressions, I could not run it on Linux natively or through Wine, but I succeeded on a real Windows machine; if it usually runs on real Windows then OK)."
phage,Anonymous,"2 - I have found no bugs. But it is not polished: for example, the game is named ""Example"" when you lose, and you get T-Engine's title screen which is completely irrelevant to Phage (which I find annoying and AFAIK can be avoided in T-Engine).","1 - Phage itself provides simple ASCII characters, which are mixed with T-Engine's graphics. I don't like it due to inconsistence.","1 - I think the general idea of consuming enemies for new powers is very nice. But it is not yet well developed in this game. Moreover, you can win simply by standing in one place (as long as there are no enemies, but if there are, you can usually easily kill them). I would suggest waiting for a new version where it will be more developed.","2 - The idea of gaining powers from the corpses of your enemies appears in other roguelikes (in major hacklikes you can eat them for intrinsics, and in Xenocide you can use the genomes to improve own body; even in equipment based roguelikes we have a form of this, since you can use the equipment of your enemies for yourself). I could still give a high Innovation score if it would be well developed, but unfortunately, I don't think it is so. I have given a ""2"", but it is quite weak IMO.","2 - Has movement, attacking, enemies and several ""talents"". I think it is enough for a ""2"". But the winning condition is not meaningful.","2 - Lack of complexity, unclear challenge.","A T-Engine game based on the idea of consuming the bodies of your fallen enemies to gain new powers. It is playable, but it is not a challenge (you can win by simply walking around one place for 500 turns; and it seems that the talents that can be achieved from defeating other monsters are not yet interesting enough). I think that it is a good start, and it could become a very fun game in the future. But this would require lots of work..."
JaggedRL,Anonymous,"3 - The challenge victory post claims there are some bugs. But still, I think that the game is quite polished.","3 - The graphics are beautiful, and the controls are OK. But please add a fullscreen option, I simply cannot play roguelikes in a tiny window. (I have tried to change the Python source to achieve fullscreen, but I have lost the mouse pointer then)","2 - I don't find the game very fun, but it might just mean that this game is not for me (I have not played Jagged Alliance, maybe I would understand JaggedRL better if I did). I think you should try it for yourself. ","1 - I think that JaggedRL is much simpler than squad based games like X-Com (I have not played Jagged Alliance so I cannot compare). It would be innovative to mix more roguelike elements, but I don't think that this has been done: random level generation already appears in squad games (X-Com). There are also many roguelikes which have some form of team management. The implementation in JaggedRL is different, but I don't think it is that innovative.","3 - Lots of features there: completing the squad, squad member abilities, choosing the mission, tutorial, graphics, save/load. Even though the gameplay itself feels quite limited, I think it is enough for a '3'.","2 - I feel that the gameplay complexity here is quite limited: you can only move and shoot the enemies. Although the squad management brings some complexity, I feel that it is less complex than usual roguelikes. Also, UI features such as the lack of keyboard movement and lack of fullscreen mode tell me that I am not playing a roguelike.","JaggedRL is an attempt to mix squad-based turn-based strategy games and roguelikes. I think it is quite well polished (beautiful graphics). However, unfortunately, I don't think the game is that fun to play: it seems to be mostly moving your squad members and firing when they see an enemy, and hoping that they win the fight. It seems hard to attack an enemy using several members of the squad, for example: the battle goes on so fast that it is often finished before the other guys arrive. There are some elements such as stamina and morale, which drop during the mission and seem to cause problems, but I don't know how to raise them (maybe I would understand it better if I played Jagged Alliance). Overall, I had less fun with this than I expected, but I think you should play for yourself and see."
Kitchen Masters,Anonymous,"2 - I have once run into a crash bug (while using the reflection recipe). But other than that, the game is polished.",3 - A typical high quality libtcod output. One problem: some monsters and items are hard to see on lower floors (due to their colors).,"3 - The theme is cool. The first few levels are extremely easy, but the difficulty rises quickly.","1 - It has a cool theme, but I don't think it is innovative. It also has an original magic/resource management system: there are six types of components which can be used for many kinds of ""magic"". Other than that, the game is quite typical. Overall, I think it is not enough for a high score in Innovation, but the game is very good in other ways.","2 - There are many enemies, and many recipes. I think this is a strong ""2"".",3 - Definitely a roguelike.,"A roguelike themed around food and chefs. This theme is very tasty, and recipes take place of ""spells"". They need ingredients to cast, which are a limited resource that can be obtained by defeating monsters. I think that the game is well balanced, although there are too many easy levels in the beginning (although I have not won it yet). Overall, a very good game!"
